ìÂ;ìÀ
0.10079940;1.0080E-04
0.10084780;1.0085E-04
0.10086640;1.0087E-04
0.10087390;1.0087E-04
0.10090000;1.0090E-04
0.10092230;1.0092E-04
0.10092600;1.0093E-04
0.10092980;1.0093E-04
0.10092980;1.0093E-04
0.10093720;1.0094E-04
0.10096700;1.0097E-04
0.10096700;1.0097E-04
0.10098190;1.0098E-04
0.10098560;1.0099E-04
0.10098560;1.0099E-04
0.10098940;1.0099E-04
0.10099680;1.0100E-04
0.10101170;1.0101E-04
0.10101920;1.0102E-04
0.10101920;1.0102E-04
0.10102290;1.0102E-04
0.10102290;1.0102E-04
0.10102660;1.0103E-04
0.10102660;1.0103E-04
0.10103030;1.0103E-04
0.10103410;1.0103E-04
0.10104150;1.0104E-04
0.10104520;1.0105E-04
0.10104900;1.0105E-04
0.10105270;1.0105E-04
0.10106010;1.0106E-04
0.10106010;1.0106E-04
0.10106390;1.0106E-04
0.10106760;1.0107E-04
0.10106760;1.0107E-04
0.10106760;1.0107E-04
0.10107130;1.0107E-04
0.10107500;1.0108E-04
0.10107500;1.0108E-04
0.10107880;1.0108E-04
0.10108250;1.0108E-04
0.10108250;1.0108E-04
0.10108250;1.0108E-04
0.10108250;1.0108E-04
0.10108620;1.0109E-04
0.10109370;1.0109E-04
0.10109370;1.0109E-04
0.10109740;1.0110E-04
0.10110110;1.0110E-04
0.10110860;1.0111E-04
0.10110860;1.0111E-04
0.10110860;1.0111E-04
0.10111230;1.0111E-04
0.10111230;1.0111E-04
0.10111230;1.0111E-04
0.10111600;1.0112E-04
0.10111970;1.0112E-04
0.10112350;1.0112E-04
0.10113090;1.0113E-04
0.10113840;1.0114E-04
0.10113840;1.0114E-04
0.10114210;1.0114E-04
0.10114580;1.0115E-04
0.10114580;1.0115E-04
0.10114580;1.0115E-04
0.10114580;1.0115E-04
0.10114950;1.0115E-04
0.10115330;1.0115E-04
0.10115330;1.0115E-04
0.10115330;1.0115E-04
0.10115330;1.0115E-04
0.10116440;1.0116E-04
0.10116440;1.0116E-04
0.10116440;1.0116E-04
0.10116440;1.0116E-04
0.10117940;1.0118E-04
0.10117940;1.0118E-04
0.10118680;1.0119E-04
0.10119050;1.0119E-04
0.10119800;1.0120E-04
0.10120170;1.0120E-04
0.10120170;1.0120E-04
0.10120170;1.0120E-04
0.10120540;1.0121E-04
0.10120920;1.0121E-04
0.10120920;1.0121E-04
0.10120920;1.0121E-04
0.10121290;1.0121E-04
0.10122030;1.0122E-04
0.10122030;1.0122E-04
0.10122030;1.0122E-04
0.10122410;1.0122E-04
0.10123520;1.0124E-04
0.10123900;1.0124E-04
0.10123900;1.0124E-04
0.10124640;1.0125E-04
0.10124640;1.0125E-04
0.10126500;1.0127E-04
0.10126500;1.0127E-04
0.10126880;1.0127E-04
0.10126880;1.0127E-04
0.10127250;1.0127E-04
0.10127250;1.0127E-04
0.10127250;1.0127E-04
0.10127250;1.0127E-04
0.10127620;1.0128E-04
0.10127620;1.0128E-04
0.10127620;1.0128E-04
0.10127620;1.0128E-04
0.10127990;1.0128E-04
0.10127990;1.0128E-04
0.10127990;1.0128E-04
0.10128370;1.0128E-04
0.10128370;1.0128E-04
0.10128740;1.0129E-04
0.10129110;1.0129E-04
0.10129480;1.0129E-04
0.10129480;1.0129E-04
0.10129480;1.0129E-04
0.10129480;1.0129E-04
0.10129480;1.0129E-04
0.10129480;1.0129E-04
0.10129860;1.0130E-04
0.10129860;1.0130E-04
0.10129860;1.0130E-04
0.10129860;1.0130E-04
0.10130230;1.0130E-04
0.10130230;1.0130E-04
0.10130600;1.0131E-04
0.10132460;1.0132E-04
0.10133580;1.0134E-04
0.10134330;1.0134E-04
0.10134700;1.0135E-04
0.10135070;1.0135E-04
0.10135440;1.0135E-04
0.10135820;1.0136E-04
0.10136190;1.0136E-04
0.10136190;1.0136E-04
0.10136560;1.0137E-04
0.10136560;1.0137E-04
0.10136560;1.0137E-04
0.10136930;1.0137E-04
0.10138050;1.0138E-04
0.10138800;1.0139E-04
0.10139910;1.0140E-04
0.10139910;1.0140E-04
0.10139910;1.0140E-04
0.10139910;1.0140E-04
0.10139910;1.0140E-04
0.10140290;1.0140E-04
0.10140660;1.0141E-04
0.10141400;1.0141E-04
0.10141780;1.0142E-04
0.10142150;1.0142E-04
0.10142520;1.0143E-04
0.10142520;1.0143E-04
0.10142890;1.0143E-04
0.10142890;1.0143E-04
0.10142890;1.0143E-04
0.10143270;1.0143E-04
0.10143270;1.0143E-04
0.10143270;1.0143E-04
0.10144010;1.0144E-04
0.10144380;1.0144E-04
0.10144760;1.0145E-04
0.10144760;1.0145E-04
0.10145130;1.0145E-04
0.10145130;1.0145E-04
0.10145130;1.0145E-04
0.10146250;1.0146E-04
0.10146250;1.0146E-04
0.10146250;1.0146E-04
0.10146250;1.0146E-04
0.10146990;1.0147E-04
0.10147740;1.0148E-04
0.10148110;1.0148E-04
0.10148110;1.0148E-04
0.10148480;1.0148E-04
0.10149230;1.0149E-04
0.10149230;1.0149E-04
0.10149970;1.0150E-04
0.10149970;1.0150E-04
0.10150720;1.0151E-04
0.10152580;1.0153E-04
0.10153700;1.0154E-04
0.10154440;1.0154E-04
0.10155190;1.0155E-04
0.10155930;1.0156E-04
0.10157420;1.0157E-04
0.10158170;1.0158E-04
0.10159290;1.0159E-04
0.10159660;1.0160E-04
0.10160030;1.0160E-04
0.10161150;1.0161E-04
0.10162270;1.0162E-04
0.10162640;1.0163E-04
0.10164870;1.0165E-04
0.10167480;1.0167E-04
0.10167850;1.0168E-04
0.10174560;1.0175E-04
